"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\LightFlicker.cs", "C#", 22, 3, 6, 31
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\MaterialVectorSetter.cs", "C#", 12, 0, 3, 15
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\PlantShake.cs", "C#", 27, 1, 7, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\PlayerKiller.cs", "C#", 18, 0, 4, 22
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Rotate.cs", "C#", 78, 4, 22, 104
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\SortingOrderSetter.cs", "C#", 10, 2, 2, 14
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\TextObject.cs", "C#", 25, 3, 7, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\TransitionPoint.cs", "C#", 18, 0, 5, 23
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSField.cs", "C#", 38, 4, 13, 55
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSMovingPlatform.cs", "C#", 130, 15, 48, 193
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DSExternalField.cs", "C#", 125, 20, 37, 182
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DSInternalField.cs", "C#", 22, 2, 7, 31
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DepthSwitching.cs", "C#", 77, 13, 27, 117
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\ZSPlatforms.cs", "C#", 131, 18, 37, 186
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZoneSwitching.cs", "C#", 85, 5, 41, 131
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Zone\ConnectionsZoneFixer.cs", "C#", 107, 14, 28, 149
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Zone\Zone.cs", "C#", 171, 21, 70, 262
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Tests\EditModeTests\zone_tests.cs", "C#", 15, 3, 4, 22
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Tests\PlayModeTests\player_tests.cs", "C#", 75, 21, 38, 134
"Total", "-", 8010, 749, 2743, 11502
