"filename", "language", "C#", "ShaderLab", "comment", "blank", "total"
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\Weapon.cs", "C#", 181, 0, 20, 65, 266
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\WeaponCollider.cs", "C#", 17, 0, 1, 8, 26
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Player\Weapon\WeaponDamageField.cs", "C#", 26, 0, 1, 7, 34
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\UI\ButtonAudioHandler.cs", "C#", 23, 0, 2, 4, 29
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\UI\OptionsMenu.cs", "C#", 92, 0, 1, 31, 124
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Activator.cs", "C#", 57, 0, 4, 17, 78
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\AssignCameraBounds.cs", "C#", 23, 0, 1, 6, 30
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\ColorChanger.cs", "C#", 22, 0, 2, 9, 33
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\ColorSetter.cs", "C#", 50, 0, 4, 12, 66
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Disable.cs", "C#", 8, 0, 1, 2, 11
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Disappear.cs", "C#", 35, 0, 3, 9, 47
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\DisappearText.cs", "C#", 29, 0, 3, 7, 39
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\GameplayTimer.cs", "C#", 48, 0, 1, 17, 66
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\LightFlicker.cs", "C#", 22, 0, 3, 6, 31
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\MaterialVectorSetter.cs", "C#", 12, 0, 0, 3, 15
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\PlantShake.cs", "C#", 27, 0, 1, 7, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\PlayerKiller.cs", "C#", 18, 0, 0, 4, 22
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\Rotate.cs", "C#", 78, 0, 4, 22, 104
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\SortingOrderSetter.cs", "C#", 10, 0, 2, 2, 14
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Utility\TextObject.cs", "C#", 25, 0, 3, 7, 35
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\TransitionPoint.cs", "C#", 18, 0, 0, 5, 23
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSField.cs", "C#", 38, 0, 4, 13, 55
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSMovingPlatform.cs", "C#", 130, 0, 15, 48, 193
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DSExternalField.cs", "C#", 125, 0, 20, 37, 182
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DSInternalField.cs", "C#", 22, 0, 2, 7, 31
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\DepthSwitching\DepthSwitching.cs", "C#", 77, 0, 13, 27, 117
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZSPlatforms\ZSPlatforms.cs", "C#", 123, 0, 18, 36, 177
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\ZoneSwitching\ZoneSwitching.cs", "C#", 85, 0, 5, 41, 131
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Zone\ConnectionsZoneFixer.cs", "C#", 107, 0, 14, 28, 149
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Scripts\Zone\Zone.cs", "C#", 171, 0, 21, 70, 262
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Tests\EditModeTests\ZonesTests.cs", "C#", 17, 0, 3, 4, 24
"c:\Users\micha\Desktop\Unity Projects\Aktualne\Depther\Assets\Tests\PlayModeTests\player_movement_tests.cs", "C#", 56, 0, 12, 24, 92
"Total", "-", 7936, 54, 737, 2757, 11484
